Step,thirsty-proskuriakova-2 - hard/00_episode_successes,thirsty-proskuriakova-2 - hard/00_episode_successes__MIN,thirsty-proskuriakova-2 - hard/00_episode_successes__MAX,thirsty-proskuriakova-2 - hard/01_episode_successes,thirsty-proskuriakova-2 - hard/01_episode_successes__MIN,thirsty-proskuriakova-2 - hard/01_episode_successes__MAX,thirsty-proskuriakova-2 - hard/02_episode_successes,thirsty-proskuriakova-2 - hard/02_episode_successes__MIN,thirsty-proskuriakova-2 - hard/02_episode_successes__MAX,thirsty-proskuriakova-2 - hard/04_episode_successes,thirsty-proskuriakova-2 - hard/04_episode_successes__MIN,thirsty-proskuriakova-2 - hard/04_episode_successes__MAX,thirsty-proskuriakova-2 - hard/06_episode_successes,thirsty-proskuriakova-2 - hard/06_episode_successes__MIN,thirsty-proskuriakova-2 - hard/06_episode_successes__MAX,thirsty-proskuriakova-2 - hard/08_episode_successes,thirsty-proskuriakova-2 - hard/08_episode_successes__MIN,thirsty-proskuriakova-2 - hard/08_episode_successes__MAX,thirsty-proskuriakova-2 - hard/10_episode_successes,thirsty-proskuriakova-2 - hard/10_episode_successes__MIN,thirsty-proskuriakova-2 - hard/10_episode_successes__MAX,thirsty-proskuriakova-2 - hard/12_episode_successes,thirsty-proskuriakova-2 - hard/12_episode_successes__MIN,thirsty-proskuriakova-2 - hard/12_episode_successes__MAX,thirsty-proskuriakova-2 - hard/16_episode_successes,thirsty-proskuriakova-2 - hard/16_episode_successes__MIN,thirsty-proskuriakova-2 - hard/16_episode_successes__MAX
998400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10014720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20029440,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265
30044160,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186,0.0081032412965186
40058880,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521,0.01890756302521
50073600,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597,0.0228091236494597
60088320,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817,0.0372148859543817
70103040,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082,0.0423169267707082
80117760,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156,0.0471188475390156
90132480,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593,0.040516206482593
