,#377eb8,#a65628,#984ea3,#999999,#e41a1c,#377eb8_max,#377eb8_min,#a65628_max,#a65628_min,#984ea3_max,#984ea3_min,#999999_max,#999999_min,#e41a1c_max,#e41a1c_min
0.0,0.0091173835,0.0077060932,0.0019265233,0.0007392473,0.0174283154,0.0145385305,0.0042114695,0.009968638,0.0054659498,0.0029121864,0.0009408602,0.0014784946,0.0,0.0208333333,0.0140681004
5000000.0,0.2125672043,0.1474238351,0.0088261649,0.0127912186,0.1227374552,0.2764784946,0.121953405,0.1717293907,0.1230958781,0.0125448029,0.005577957,0.0156137993,0.0101478495,0.1342293907,0.1112455197
10000000.0,0.5638664875,0.4176075269,0.0295250896,0.0571236559,0.2692204301,0.6214605735,0.4754704301,0.4353494624,0.3999103943,0.0366039427,0.022468638,0.063172043,0.0513664875,0.29359319,0.2448252688
15000000.0,0.7344758065,0.5884184588,0.0350358423,0.2095654122,0.4017697133,0.7703629032,0.6825492832,0.6107302867,0.5663978495,0.0439292115,0.0251792115,0.23734319,0.1818100358,0.4384408602,0.3689964158
20000000.0,0.7981630824,0.6813396057,0.0575044803,0.4418682796,0.5269265233,0.8144937276,0.7836021505,0.7116039427,0.6561379928,0.0629480287,0.0521281362,0.4876344086,0.3964605735,0.5553091398,0.4909050179
25000000.0,0.854905914,0.755421147,0.0742159498,0.6313396057,0.6030241935,0.8634408602,0.8444892473,0.7730734767,0.7392473118,0.0862679211,0.0625896057,0.678875448,0.5837589606,0.621438172,0.5887544803
30000000.0,0.876187276,0.7964157706,0.0847222222,0.7385080645,0.6537634409,0.8948028674,0.8591397849,0.8173387097,0.7686603943,0.0903449821,0.0791218638,0.7670698925,0.7152105735,0.6669802867,0.6381496416
35000000.0,0.8891577061,0.8387992832,0.1221998208,0.8041890681,0.7053539427,0.8955645161,0.8827060932,0.8471998208,0.8312051971,0.1446236559,0.1080645161,0.8262544803,0.7713933692,0.7153449821,0.6959453405
40000000.0,0.9004704301,0.8506048387,0.1657258065,0.8435259857,0.733938172,0.9126120072,0.889202509,0.8592293907,0.8419802867,0.1834005376,0.1476478495,0.8627688172,0.823140681,0.7492159498,0.7190860215
45000000.0,0.9234094982,0.8646953405,0.2207437276,0.8673835125,0.7718637993,0.9306451613,0.9169802867,0.868234767,0.8600358423,0.2349238351,0.2056003584,0.8844086022,0.8506048387,0.788172043,0.758624552
50000000.0,0.9297043011,0.8877464158,0.271438172,0.8919578853,0.7941532258,0.9334901434,0.925828853,0.8969310036,0.8798387097,0.288328853,0.2582213262,0.9020833333,0.8785842294,0.7975358423,0.7908154122
