,#377eb8,#984ea3,#4daf4a,#f781bf,#a65628,#377eb8_max,#377eb8_min,#984ea3_max,#984ea3_min,#4daf4a_max,#4daf4a_min,#f781bf_max,#f781bf_min,#a65628_max,#a65628_min
0.0,0.1048163082,0.0048835125,0.0036514337,0.0016353047,0.0066532258,0.1367607527,0.059296595,0.0062275986,0.0039426523,0.0060483871,0.0014112903,0.0025985663,0.000672043,0.0087141577,0.0044802867
10000000.0,0.6532706093,0.0324820789,0.0313172043,0.0192428315,0.0761648746,0.6982302867,0.5832885305,0.0371863799,0.0277777778,0.0405913978,0.0227822581,0.0247759857,0.013687276,0.0807571685,0.0715277778
20000000.0,0.8276209677,0.0658602151,0.0506272401,0.0468637993,0.1629256272,0.838844086,0.8155913978,0.0732750896,0.0603718638,0.0616935484,0.0415770609,0.0496415771,0.0442428315,0.1816308244,0.1435707885
30000000.0,0.8827956989,0.103875448,0.0749327957,0.0642697133,0.2709005376,0.8933243728,0.8722446237,0.1158826165,0.0937275986,0.0881272401,0.0616039427,0.0740367384,0.0558243728,0.2882840502,0.2535170251
40000000.0,0.9118055556,0.1955421147,0.1135304659,0.0919130824,0.4064964158,0.9215725806,0.9034722222,0.2101030466,0.1779569892,0.1567428315,0.0861335125,0.10609319,0.0794130824,0.4214157706,0.3923835125
50000000.0,0.9295026882,0.3010528674,0.1542114695,0.1361111111,0.4987231183,0.9322356631,0.9267697133,0.3222670251,0.2826612903,0.1711021505,0.1409722222,0.1542786738,0.1211917563,0.5185483871,0.4800403226
60000000.0,0.9366487455,0.3871415771,0.2000448029,0.1834677419,0.5610215054,0.9411738351,0.9293458781,0.4007840502,0.3734991039,0.2375448029,0.1795026882,0.1866039427,0.1802419355,0.5703405018,0.5503808244
70000000.0,0.9468413978,0.4556899642,0.2337365591,0.229390681,0.6111335125,0.9516577061,0.9422043011,0.477531362,0.4338485663,0.2624327957,0.213844086,0.245452509,0.2149641577,0.6234543011,0.5987903226
80000000.0,0.9465053763,0.526859319,0.2549507168,,0.6534498208,0.9493727599,0.9436155914,0.5395609319,0.511671147,0.277016129,0.2334453405,0.2887320789,0.2377688172,0.6707437276,0.636155914
90000000.0,0.9540770609,0.5739023297,0.2992607527,0.3010304659,0.6806003584,0.9568548387,0.9512544803,0.5940188172,0.5531586022,0.3109767025,0.28140681,0.3172939068,0.2846326165,0.6929435484,0.668077957
100000000.0,0.9562051971,0.6175851254,0.3175851254,0.3309139785,0.7111783154,0.9610215054,0.9514112903,0.6265456989,0.6086469534,0.3466845878,0.2943996416,0.3351926523,0.3267921147,0.7202732975,0.7020385305
110000000.0,0.9593413978,0.6313844086,0.3307123656,0.3355286738,0.7324148746,0.9605510753,0.9577508961,0.6450492832,0.6153449821,0.3468862007,0.3142249104,0.3563396057,0.3146953405,0.7414202509,0.7240591398
120000000.0,0.9619399642,0.6644937276,0.3853046595,0.3727374552,0.7515905018,0.9633960573,0.9605958781,0.6878360215,0.6387992832,0.4075268817,0.3676523297,0.3820116487,0.3617383513,0.7586917563,0.7441084229
130000000.0,0.9648521505,0.6805331541,0.3913530466,0.4020385305,0.7629032258,0.967921147,0.961984767,0.7035842294,0.6542786738,0.4102150538,0.3764784946,0.4139784946,0.392047491,0.7760528674,0.748140681
140000000.0,0.9656810036,0.7124551971,0.4241487455,0.3993055556,0.7765456989,0.9681451613,0.9634184588,0.7235215054,0.6952732975,0.4297939068,0.4181899642,0.4117383513,0.3840949821,0.7824596774,0.7693100358
150000000.0,0.9644713262,0.7193772401,0.4273297491,0.4203181004,0.7890905018,0.9665098566,0.9624327957,0.7383512545,0.6971998208,0.4396057348,0.4169802867,0.4364471326,0.4037634409,0.7990143369,0.7798387097
160000000.0,0.9683691756,0.7410394265,0.4504480287,0.4362455197,0.7983870968,0.9704749104,0.9659722222,0.757952509,0.7220206093,0.4647401434,0.4385752688,0.4511200717,0.4197132616,0.8029345878,0.7928315412
170000000.0,0.9692204301,0.7540770609,0.4646057348,0.4567428315,0.8197580645,0.9721774194,0.9648521505,0.7727822581,0.7315860215,0.4788306452,0.4506272401,0.4788978495,0.4344982079,0.8320564516,0.8111111111
180000000.0,0.9678539427,0.7596550179,0.4801971326,0.4681451613,0.8240143369,0.9697804659,0.9658154122,0.7776657706,0.7376344086,0.5141577061,0.4533154122,0.4788082437,0.4547267025,0.8329973118,0.8137544803
200000000.0,0.9741487455,0.7870967742,0.5148969534,0.4853046595,0.8364919355,0.9757840502,0.9719982079,0.79984319,0.7727598566,0.5302867384,0.4996191756,0.4996863799,0.4700716846,0.8450716846,0.8279345878
210000000.0,0.9721102151,0.7915322581,0.5173163082,0.4969310036,0.8497535842,0.9747087814,0.9704749104,0.8026209677,0.7809587814,0.5360439068,0.4948700717,0.5134856631,0.4771057348,0.8616039427,0.8362231183
220000000.0,0.9731182796,0.7915098566,0.5131944444,0.50625,0.8554435484,0.9751344086,0.9710125448,0.8027329749,0.7757616487,0.5311603943,0.4966173835,0.5205869176,0.4918682796,0.8650985663,0.8451164875
230000000.0,0.9728942652,0.7972446237,0.5343189964,0.5248207885,0.8629032258,0.9756048387,0.9711469534,0.8100358423,0.7834453405,0.5527329749,0.5128136201,0.5424731183,0.5071684588,0.8688620072,0.8569444444
240000000.0,0.9748655914,0.8149417563,0.5487679211,0.5382616487,0.8708333333,0.9772625448,0.9722670251,0.8251344086,0.7970878136,0.5644265233,0.5379928315,0.5449148746,0.5316084229,0.8821460573,0.8588037634
250000000.0,0.9751344086,0.8179435484,0.5671818996,0.5591845878,,0.9766353047,0.9736335125,0.8351702509,0.8026657706,0.5841173835,0.5465501792,0.565031362,0.5533378136,0.8763216846,0.8651209677
260000000.0,0.9760976703,0.8183243728,0.575828853,0.5551299283,0.870452509,0.9770385305,0.9752464158,0.8298163082,0.8039874552,0.6048163082,0.5521729391,0.5683915771,0.5415322581,0.8790994624,0.864202509
270000000.0,0.9730734767,0.8298835125,0.55625,0.5661066308,0.8803091398,0.9764336918,0.969937276,0.8428091398,0.813172043,0.5793234767,0.5331989247,0.5750448029,0.5584677419,0.8902105735,0.8704301075
